,index,ID,DATE,TO USER ACCOUNT,FROM USER ACCOUNT,REASON,DISMISSED 1,DISMISSED 2,DISMISSED 3,QUANTIFIER 1 USERNAME,QUANTIFIER 2 USERNAME,QUANTIFIER 3 USERNAME,AVG SCORE,MAX SCORE,DISMISSAL AGREED,ORIGINAL MSG
63,92,635a845c1ab9982803027acd,2021-11-06T23:00:00.000Z,markop#2007,Danibelle the Uno and Only#6791,for creating their nrGIV Token Minting proposal! ,False,False,True,freshelle#9882,Nikola Creatrix#5026,divine_comedian#5493,18.67,55.0,False,for creating their nrGIV Token Minting proposal! 
198,260,635a845c1ab9982803027b75,2021-11-10T23:00:00.000Z,MoeNick#1374,Donna.Ofi,for taking today off to celebrate his wife's Birthday ,False,True,False,cuidadopeligro#4788,tropicalmango#3240,toraif#4775,6.0,13.0,False,for taking today off to celebrate his wife's Birthday 
251,212,635a845c1ab9982803027b45,2021-11-08T23:00:00.000Z,karmaticacid#1218,mateodaza#3156,because he's missing in that list 😉 he did lots of that job ,True,False,False,mateodaza#3156,freshelle#9882,WhyldWanderer#7002,3.67,8.0,False,because he's missing in that list 😉 he did lots of that job 
260,213,635a845c1ab9982803027b46,2021-11-08T23:00:00.000Z,Carlos096#8712,mateodaza#3156,because he's missing in that list 😉 he did lots of that job ,False,True,False,mateodaza#3156,freshelle#9882,Nikola Creatrix#5026,3.0,8.0,False,because he's missing in that list 😉 he did lots of that job 
263,75,635a845c1ab9982803027abc,2021-11-06T23:00:00.000Z,eduadiez#9314,divine_comedian#5493,for providing information on testing the GIVback contracts ,False,True,False,fuscia,Nicbals#2154,Ramin#4479,0.4,8.0,False,for providing information on testing the GIVback contracts 
268,11,635a845c1ab9982803027a7c,2021-11-02T23:00:00.000Z,MoeNick#1374,markop#2007,to for being wonderful human beings. I love you all 💜 ,False,True,False,cuidadopeligro#4788,tropicalmango#3240,toraif#4775,5.33,8.0,False,to for being wonderful human beings. I love you all 💜 
276,23,635a845c1ab9982803027a88,2021-11-02T23:00:00.000Z,Bowen,markop#2007,to for being wonderful human beings. I love you all 💜 ,True,False,False,ClaraZi#5313,geleeroyale#3228,Dr. Suga#8514,2.0,5.0,False,to for being wonderful human beings. I love you all 💜 
278,14,635a845c1ab9982803027a7f,2021-11-02T23:00:00.000Z,Mo 🤖#0356,markop#2007,to for being wonderful human beings. I love you all 💜 ,False,True,False,Danibelle the Uno and Only#6791,ClaraZi#5313,geleeroyale#3228,2.0,5.0,False,to for being wonderful human beings. I love you all 💜 
280,13,635a845c1ab9982803027a7e,2021-11-02T23:00:00.000Z,Rodricast#1415,markop#2007,to for being wonderful human beings. I love you all 💜 ,True,False,False,ClaraZi#5313,geleeroyale#3228,Dr. Suga#8514,2.0,5.0,False,to for being wonderful human beings. I love you all 💜 
284,9,635a845c1ab9982803027a7a,2021-11-02T23:00:00.000Z,Danibelle the Uno and Only#6791,markop#2007,to for being wonderful human beings. I love you all 💜 ,True,False,False,ClaraZi#5313,geleeroyale#3228,Dr. Suga#8514,2.0,5.0,False,to for being wonderful human beings. I love you all 💜 
305,16,635a845c1ab9982803027a81,2021-11-02T23:00:00.000Z,WhyldWanderer#7002,markop#2007,to for being wonderful human beings. I love you all 💜 ,True,False,False,tropicalmango#3240,toraif#4775,karmaticacid#1218,1.33,3.0,False,to for being wonderful human beings. I love you all 💜 
326,19,635a845c1ab9982803027a84,2021-11-02T23:00:00.000Z,Donna.Ofi,markop#2007,to for being wonderful human beings. I love you all 💜 ,False,False,True,Ramin#4479,Danibelle the Uno and Only#6791,ClaraZi#5313,0.5,1.0,False,to for being wonderful human beings. I love you all 💜 
